name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.250000;5.207416e-001;-2.054003e+001;2.329153e+001;2.532479e-002;-2.238982e-002;5.006393e-001;4.068878e+001;9.508635e+000;2.547719e+001;2.206022e+001;2.365803e+001;2.474531e-002;5.055060e+000;2.181318e+000;9.408046e+000;1.897091e+001;3.845205e+002;1.184207e+003;-8.030931e+000;1.444690e+003;-2.233145e+001;2.288424e+003;-1.841315e+001
'unknown';0.260000;4.603855e-001;-1.876471e+001;1.928975e+001;2.040617e-002;-1.668028e-002;4.936610e-001;3.981192e+001;5.103377e+000;3.091397e+001;2.732182e+001;2.357249e+001;3.036366e-002;4.454982e+000;1.612494e+000;6.498519e+000;2.006035e+001;3.493590e+002;1.172204e+003;-6.520686e+000;1.336981e+003;-2.205526e+001;2.281097e+003;-2.024277e+001
'unknown';0.270000;4.245507e-001;-1.886011e+001;1.924983e+001;2.254338e-002;-1.319635e-002;4.363437e-001;3.963564e+001;5.206200e+000;3.137099e+001;2.658283e+001;2.339130e+001;3.598202e-002;3.854903e+000;-2.528068e+000;4.123969e+000;2.072469e+001;3.472895e+002;1.145992e+003;-3.288989e+000;1.332444e+003;-2.185728e+001;2.271943e+003;-2.004996e+001
'unknown';0.280000;4.078959e-001;-2.052377e+001;2.387530e+001;4.110490e-002;-1.306749e-002;3.450636e-001;3.858810e+001;1.011574e+001;3.150719e+001;2.096294e+001;2.407011e+001;4.160038e-002;3.254824e+000;-4.576108e+000;2.442304e+000;2.030366e+001;3.532728e+002;1.078237e+003;-1.787108e+000;1.337886e+003;-2.412862e+001;2.261357e+003;-1.964846e+001
'unknown';0.290000;4.198392e-001;-1.920846e+001;2.320165e+001;4.274289e-002;-1.126665e-002;3.020835e-001;3.402354e+001;1.377600e+001;3.102781e+001;9.314754e+000;2.467230e+001;4.160038e-002;3.254824e+000;-4.115967e+000;2.713183e+000;1.937117e+001;3.676056e+002;1.007401e+003;-4.798583e-001;1.376747e+003;-2.663767e+001;2.361082e+003;-1.713785e+001
'unknown';0.300000;5.036330e-001;-1.882873e+001;2.373340e+001;4.223140e-002;-1.204191e-002;5.548924e-001;2.936561e+001;1.554347e+001;3.285923e+001;4.014495e+000;2.542360e+001;4.160038e-002;3.254824e+000;8.800710e-001;3.510644e+000;1.854182e+001;3.577701e+002;1.062689e+003;-9.746695e-001;1.411528e+003;-2.809543e+001;2.354903e+003;-1.600584e+001
'unknown';0.310000;7.840467e-001;-1.903732e+001;2.098593e+001;3.959555e-002;-9.858862e-003;1.547587e+000;2.999953e+001;1.325474e+001;4.028917e+001;2.142790e+000;2.534366e+001;4.160038e-002;3.254824e+000;2.826214e+000;4.028786e+000;1.761705e+001;3.560676e+002;1.085461e+003;-6.086509e-002;1.456197e+003;-2.460429e+001;2.356766e+003;-1.364913e+001
'unknown';0.320000;1.209210e+000;-1.948232e+001;2.147817e+001;2.271476e-002;-7.648698e-003;1.942165e+000;3.265864e+001;8.236938e+000;4.642058e+001;7.632193e+000;2.523226e+001;4.160038e-002;3.254824e+000;1.261057e+000;4.212980e+000;1.602662e+001;3.470603e+002;1.123748e+003;7.404907e-001;1.435569e+003;-1.859216e+001;2.270444e+003;-1.107315e+001
'unknown';0.330000;1.782245e+000;-1.652427e+001;1.826669e+001;2.087549e-002;-3.775773e-003;1.985776e+000;3.006028e+001;4.609816e+000;4.819715e+001;7.782820e+000;2.459597e+001;4.160038e-002;3.254824e+000;1.167352e-001;4.385294e+000;1.492682e+001;6.706506e+002;1.010043e+003;-2.496645e+000;1.693741e+003;-1.090673e+001;2.674558e+003;-8.627625e+000
'unknown';0.340000;2.508988e+000;-1.230696e+001;1.508578e+001;2.625362e-002;-8.894282e-003;2.003912e+000;2.503418e+001;1.195600e+000;3.985979e+001;2.025973e-001;2.387271e+001;4.160038e-002;3.254824e+000;-3.358364e-003;4.798784e+000;1.267003e+001;9.435522e+002;1.003355e+003;-5.901882e+000;1.933690e+003;-6.771320e+000;2.997111e+003;-4.206041e+000
'unknown';0.350000;3.267889e+000;-8.839488e+000;1.295558e+001;4.938708e-002;-1.516379e-002;2.440240e+000;2.158413e+001;-2.589389e+000;3.385729e+001;-1.014735e+001;2.306033e+001;2.917297e-002;3.163529e+000;1.557482e+000;4.981093e+000;1.073813e+001;1.260277e+003;1.027751e+003;-9.934489e+000;2.199174e+003;-4.345891e+000;3.310749e+003;-7.211844e-002
